999990     10     0     0
999983     16     0     1
999969     29     0     2
999957     36     4     3
999934     57     6     3
999902     82     12     4
999855     123     16     6
999780     183     28     9
999671     276     37     16
999473     446     59     22
999182     698     90     30
998719     1089     145     47
998042     1671     211     76
996929     2633     315     123
995259     4044     506     191
992680     6241     780     299
988845     9518     1180     457
982939     14603     1747     711
973766     22533     2670     1031
960048     34255     4101     1596
939259     51919     6374     2448
909772     76705     9802     3721
868465     110988     14899     5648
813495     155870     22244     8391
745019     210475     32301     12205
665587     271005     46051     17357
581898     330508     63726     23868
499869     383251     84922     31958
424749     424774     109375     41102
359188     453137     136209     51466
303546     469224     164875     62355
256873     475269     194298     73560
217854     473469     223754     84923
185469     465301     252875     96355
158819     452482     281052     107647
136569     436544     308182     118705
118336     418778     333713     129173
103590     399172     357802     139436
91647     379002     380169     149182
82226     358106     401267     158401
74561     337545     420720     167174
68439     317663     438593     175305
63676     298538     454732     183054
60309     279590     469689     190412
57792     261842     483085     197281
56000     245029     495293     203678
54913     229622     505808     209657
54427     214947     515427     215199
54174     201410     524041     220375
54322     188894     531624     225160
54903     177014     538335     229748
55912     165860     544079     234149
56976     155783     549143     238098
58066     146403     553552     241979
59349     137764     557339     245548
61094     129782     560259     248865
63066     122232     562581     252121
65009     115112     564758     255121
67017     108973     566136     257874
69157     103141     567154     260548
71610     97723     567600     263067
73890     92956     567714     265440
76314     88449     567592     267645
78643     84418     567117     269822
80950     80742     566392     271916
83431     77218     565439     273912
85912     74057     564310     275721
88465     70979     563001     277555
90917     68363     561528     279192
93462     65993     559740     280805
95938     63703     557919     282440
98495     61467     556042     283996
101055     59697     553860     285388
103574     57969     551591     286866
106202     56239     549289     288270
108672     54759     546930     289639
111167     53418     544404     291011
113596     52153     541959     292292
115860     51065     539544     293531
118348     49904     536982     294766
120864     48928     534236     295972
123313     48056     531496     297135
125548     47290     528849     298313
127750     46670     526099     299481
130016     46181     523227     300576
132089     45632     520608     301671
134222     45114     517915     302749
136367     44642     515111     303880
138310     44381     512395     304914
140242     44138     509632     305988
142098     44058     506843     307001
143819     43912     504193     308076
145498     43858     501502     309142
147156     43632     499010     310202
148772     43711     496257     311260
150171     43795     493755     312279
151665     43895     491097     313343
152974     43862     488708     314456
154311     44040     486144     315505
155599     44174     483681     316546
156758     44377     481284     317581
157951     44557     478867     318625
158825     44709     476763     319703
159750     45148     474337     320765
160675     45459     472048     321818
161549     45670     469866     322915
162172     45966     467877     323985
162734     46388     465773     325105
163296     46861     463637     326206
163674     47394     461616     327316
164096     47823     459563     328518
164516     48261     457568     329655
164862     48696     455647     330795
165105     49160     453724     332011
165442     49464     451864     333230
165620     49913     450003     334464
165695     50379     448212     335714
165575     50978     446524     336923
165499     51522     444819     338160
165210     52024     443314     339452
164916     52613     441773     340698
164411     53047     440554     341988
164021     53489     439239     343251
163608     53976     437914     344502
163092     54419     436767     345722
162494     54877     435642     346987
161775     55307     434616     348302
161232     55690     433402     349676
160572     56155     432285     350988
160034     56519     431075     352372
159420     56748     430044     353788
158610     57098     429107     355185
157849     57497     428084     356570
157097     57943     427036     357924
156479     58095     426133     359293
155629     58344     425380     360647
154692     58673     424512     362123
153865     58726     423826     363583
153131     58770     423050     365049
152463     58714     422346     366477
151761     58706     421645     367888
151026     58992     420636     369346
150200     58980     420056     370764
149566     58981     419291     372162
148944     59067     418439     373550
148189     59125     417734     374952
147479     58950     417149     376422
146876     58750     416493     377881
146154     58702     415813     379331
145550     58578     415170     380702
144894     58474     414420     382212
144391     58266     413751     383592
143877     58039     413127     384957
143476     57763     412394     386367
143028     57633     411595     387744
142666     57433     410840     389061
142315     57141     410103     390441
141986     56908     409318     391788
141724     56706     408437     393133
141182     56509     407785     394524
140946     56175     406968     395911
140646     56044     406065     397245
140400     55758     405250     398592
139926     55525     404662     399887
139498     55350     403876     401276
